run_number	current	charge	trigger_id	livetime	trigger_counts	trigger_events	elist	Kinematic
1556	22.12	11622.8	DL.bit2	0.998901	910	909	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1556_0_5.root	11
1555	10.12	2885.41	DL.bit2	0	184	0	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1555_3_5.root	11
1555	4.88	1618	DL.bit2	0	173	0	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1555_4_5.root	11
1555	15.62	3729.31	DL.bit2	0	145	0	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1555_2_5.root	11
1213	20.38	23263.9	DL.bit2	0.951973	291547	277545	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1213_0_5.root	1
1555	2.12	424.84	DL.bit2	0	111	0	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1555_5_5.root	11
1555	20.38	5312.21	DL.bit2	0	170	0	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1555_1_5.root	11
1555	22.88	4588.58	DL.bit2	0	118	0	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1555_0_5.root	11
1327	15.12	13499.4	DL.bit2	0.985444	70278	69255	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1327_0_5.root	3
1327	10.12	21749.6	DL.bit2	0.989998	114876	113727	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1327_1_5.root	3
1207	10.12	3961.46	DL.bit2	0.989754	19715	19513	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1207_0_5.root	1
1206	10.12	5405.44	DL.bit2	0.998728	786	785	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/elist/bcm1206_0_5.root	1
1208	10.12	6288.35	DL.bit2	0.949425	158082	150087	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1208_0_5.root	1
1209	20.12	26109.9	DL.bit2	0.972974	185341	180332	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1209_0_5.root	1
1210	20.12	33273	DL.bit2	0.963976	308657	297538	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1210_0_5.root	1
1211	20.38	26967	DL.bit2	0.963791	249219	240195	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1211_0_5.root	1
1212	20.38	20395.8	DL.bit2	0.964432	189468	182729	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1212_0_5.root	1
1214	20.38	19808.3	DL.bit2	0.946825	257414	243726	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1214_0_5.root	1
1215	20.38	30151.7	DL.bit2	0.946152	402376	380709	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1215_0_5.root	1
1216	20.38	30924.1	DL.bit2	0.945491	414462	391870	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1216_0_5.root	1
1217	20.38	30955.5	DL.bit2	0.972687	224324	218197	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1217_0_5.root	1
1218	20.12	1073.62	DL.bit2	0.970151	7739	7508	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1218_0_5.root	-1
1219	20.38	22680.6	DL.bit2	0.963847	210742	203123	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1219_0_5.root	1
1220	20.38	24941.4	DL.bit2	0.963828	231945	223555	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1220_0_5.root	1
1221	20.38	21265.2	DL.bit2	0.963296	199680	192351	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1221_0_5.root	1
1222	20.38	35947.8	DL.bit2	0.953138	445376	424505	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1222_0_5.root	1
1223	20.38	30752.1	DL.bit2	0.94709	400359	379176	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1223_0_5.root	1
1224	20.38	33158.5	DL.bit2	0.946168	441413	417651	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1224_0_5.root	1
