time	name	type	encoder	encoder_err	density_par_0	density_par_1	density_err_1	density_par_2	density_err_2	thickness	thick_err	A	Z	amu
2018-01-01	Tritium	gas	33106235	200000	1	-0.007399	0.0007872	0.0001293	3.157e-05	0.0770	0.0000	3	1	3.016
2018-01-01	Deuterium	gas	29367355	200000	1	-0.006651	0.001013	0.0001147	3.769e-05	0.1422	0.0008	2	1	2.014
2018-01-01	Hydrogen	gas	25610043	200000	1	-0.008529	0.00104	0.0001527	3.848e-05	0.0708	0.0004	1	1	1.010
2018-01-01	Helium-3	gas	21875520	200000	1	-0.004759	0.0008103	8.686e-05	3.2224e-05	0.0534	0.0006	3	2	3.016
2018-01-01	Empty Cell	solid	18119995	200000	1	0	0	0	0	0.0000	0.0000	27	13	26.980
2018-01-01	Dummy	solid	15175217	500	1	0	0	0	0	0.6990	0.0012	27	13	26.980
2018-01-01	Multifoils	solid	14394929	500	1	0	0	0	0	0.0000	0.0000	12	6	12.010
2018-01-01	Carbon Hole	solid	13108119	500	1	0	0	0	0	0.0000	0.0000	12	6	12.010
2018-01-01	Raster Target	solid	12444209	500	1	0	0	0	0	0.0000	0.0000	0	0	0.000
2018-01-01	Thick Aluminum	solid	11728945	500	1	0	0	0	0	1.3700	0.0070	27	13	26.980
2018-01-01	Carbon	solid	11013681	500	1	0	0	0	0	0.0883	0.0002	12	6	12.010
2018-01-01	Titanium	solid	10298417	500	1	0	0	0	0	0.4081	0.0008	48	22	47.876
2018-01-01	BeO	solid	9583153	500	1	0	0	0	0	0.0000	0.0000	0	0	0.000
2018-01-01	Home (No Target)	solid	0	500	1	0	0	0	0	0.0000	0.0000	0	0	0.000
